Student Name,Student ID,Course Number,Course Name,Marked At-Risk,Progress Report Grade,Progress Report Number of Absences,Alert Reasons,Progress Report Comment
"Perez, Kwame",Z10000001,MAC1105,College Algebra,TRUE,D,6,Excessive Absences,Student has not responded to outreach.
"Perez, Kwame",Z10000001,PSY2012,General Psychology,TRUE,W,10,No Show,
"Perez, Kwame",Z10000001,ECO2013,Macroeconomics,TRUE,D,5,Missing Assignments,
"Brown, Nadia",Z10000002,HIS1010,Western Civilization,True,W,7,In Danger of Failing; Excessive Absences,Referred to tutoring center.
"Brown, Nadia",Z10000002,STA2023,Introductory Statistics,True,D,5,Missing Assignments,Student has not responded to outreach.
"Brown, Nadia",Z10000002,PSY2012,General Psychology,True,F,8,Low Exam Scores,Student has not responded to outreach.
"Miller, Morgan",Z10000003,ENC1101,College Writing I,true,C-,3,In Danger of Failing; Excessive Absences,
"Miller, Morgan",Z10000003,SLS1501,Student Success Strategies,true,D,11,In Danger of Failing; Excessive Absences,"Spoke with student, aware of situation."
"Hernandez, Nadia",Z10000004,BSC1010,Biological Principles,Yes,D,2,Low Exam Scores,"Spoke with student, aware of situation."
"Hernandez, Nadia",Z10000004,ECO2013,Macroeconomics,Yes,D-,6,Excessive Absences,"Spoke with student, aware of situation."
"Smith, Reese",Z10000005,CHM2045,General Chemistry I,Y,W,6,Excessive Absences,
"Martinez, Casey",Z10000006,BSC1010,Biological Principles,1,F,2,No Show,"Spoke with student, aware of situation."
"Lee, Peyton",Z10000007,STA2023,Introductory Statistics,TRUE,D+,6,Low Exam Scores,
"Lee, Peyton",Z10000007,SLS1501,Student Success Strategies,TRUE,C-,8,Excessive Absences,"Spoke with student, aware of situation."
"Lee, Peyton",Z10000007,CHM2045,General Chemistry I,TRUE,D-,12,In Danger of Failing; Excessive Absences,
"Garcia, Jordan",Z10000008,STA2023,Introductory Statistics,True,D-,1,In Danger of Failing; Excessive Absences,
"Garcia, Jordan",Z10000008,MAC1105,College Algebra,True,W,4,In Danger of Failing; Excessive Absences,Student has not responded to outreach.
"Johnson, Morgan",Z10000009,HIS1010,Western Civilization,true,W,3,Missing Assignments,"Spoke with student, aware of situation."
"Jones, Jamie",Z10000010,ECO2013,Macroeconomics,Yes,C-,11,Low Exam Scores,"Spoke with student, aware of situation."
"Jones, Jamie",Z10000010,BSC1010,Biological Principles,Yes,D,2,Missing Assignments,Student has not responded to outreach.
"Jones, Jamie",Z10000010,HIS1010,Western Civilization,Yes,D,10,Missing Assignments,
"Rodriguez, Dimitri",Z10000011,ECO2013,Macroeconomics,Y,D,0,In Danger of Failing; Excessive Absences,"Spoke with student, aware of situation."
"Rodriguez, Dimitri",Z10000011,ENC1101,College Writing I,Y,D,12,No Show,
"Rodriguez, Dimitri",Z10000011,BSC1010,Biological Principles,Y,D+,3,In Danger of Failing,
"Smith, Cameron",Z10000012,SLS1501,Student Success Strategies,1,D,12,No Show,
"Smith, Cameron",Z10000012,HIS1010,Western Civilization,1,F,6,Excessive Absences,
"Smith, Cameron",Z10000012,ENC1101,College Writing I,1,D+,10,Missing Assignments,
"Moore, Peyton",Z10000013,ECO2013,Macroeconomics,TRUE,F,8,In Danger of Failing,Referred to tutoring center.
"Moore, Peyton",Z10000013,CHM2045,General Chemistry I,TRUE,D+,4,No Show,Student has not responded to outreach.
"Garcia, Hayden",Z10000014,MAC1105,College Algebra,True,F,9,Low Exam Scores,Student has not responded to outreach.
"Garcia, Hayden",Z10000014,SLS1501,Student Success Strategies,True,F,10,Excessive Absences,
"Brown, Skylar",Z10000015,SLS1501,Student Success Strategies,true,F,7,Low Exam Scores,Student has not responded to outreach.
"Martinez, Jamie",Z10000016,ECO2013,Macroeconomics,Yes,D-,8,Excessive Absences,
"Martinez, Jamie",Z10000016,STA2023,Introductory Statistics,Yes,F,9,Excessive Absences,Student has not responded to outreach.
"Hernandez, Carlos",Z10000017,CHM2045,General Chemistry I,Y,W,0,Missing Assignments,
"Hernandez, Carlos",Z10000017,MAC1105,College Algebra,Y,W,6,Low Exam Scores,
"Rodriguez, Casey",Z10000018,SLS1501,Student Success Strategies,1,D+,12,No Show,Student has not responded to outreach.
"Martinez, Morgan",Z10000019,HIS1010,Western Civilization,TRUE,D+,10,Excessive Absences,
"Martinez, Morgan",Z10000019,CHM2045,General Chemistry I,TRUE,D-,8,In Danger of Failing; Excessive Absences,
"Martinez, Morgan",Z10000019,SLS1501,Student Success Strategies,TRUE,C-,11,Low Exam Scores,Referred to tutoring center.
"Martinez, Peyton",Z10000020,COP2210,Programming I,True,F,4,Excessive Absences,Student has not responded to outreach.
"Jones, Blake",Z10000021,COP2210,Programming I,true,W,4,Low Exam Scores,Referred to tutoring center.
"Jones, Riley",Z10000022,SLS1501,Student Success Strategies,Yes,D-,3,Excessive Absences,"Spoke with student, aware of situation."
"Smith, Drew",Z10000023,ECO2013,Macroeconomics,Y,F,11,In Danger of Failing,
"Smith, Drew",Z10000023,HIS1010,Western Civilization,Y,F,12,In Danger of Failing,Referred to tutoring center.
"Brown, Casey",Z10000024,BSC1010,Biological Principles,1,W,11,Missing Assignments,
"Brown, Casey",Z10000024,SLS1501,Student Success Strategies,1,W,3,In Danger of Failing; Excessive Absences,Student has not responded to outreach.
"Hernandez, Jamie",Z10000025,ENC1101,College Writing I,TRUE,D,8,Excessive Absences,Student has not responded to outreach.
"Hernandez, Jamie",Z10000025,PSY2012,General Psychology,TRUE,D-,9,No Show,Referred to tutoring center.
"Lee, Priya",Z10000026,COP2210,Programming I,True,D,0,Low Exam Scores,
"Lee, Priya",Z10000026,ECO2013,Macroeconomics,True,F,3,In Danger of Failing,Student has not responded to outreach.
"Williams, Carlos",Z10000027,STA2023,Introductory Statistics,true,D+,1,No Show,Student has not responded to outreach.
"Williams, Carlos",Z10000027,ENC1101,College Writing I,true,F,8,In Danger of Failing,
"Williams, Carlos",Z10000027,ECO2013,Macroeconomics,true,D-,8,Low Exam Scores,Referred to tutoring center.
"Nguyen, Wei",Z10000028,BSC1010,Biological Principles,Yes,W,6,Missing Assignments,Student has not responded to outreach.
"Nguyen, Wei",Z10000028,MAC1105,College Algebra,Yes,D,9,In Danger of Failing,Referred to tutoring center.
"Davis, Riley",Z10000029,MAC1105,College Algebra,Y,F,4,No Show,
"Jones, Maria",Z10000030,HIS1010,Western Civilization,1,F,10,Missing Assignments,
"Jones, Maria",Z10000030,COP2210,Programming I,1,D,3,In Danger of Failing,Referred to tutoring center.
"Jones, Maria",Z10000030,ENC1101,College Writing I,1,D,0,Excessive Absences,Referred to tutoring center.
"Miller, Blake",Z10000031,BSC1010,Biological Principles,TRUE,D-,11,In Danger of Failing; Excessive Absences,Referred to tutoring center.
"Miller, Blake",Z10000031,SLS1501,Student Success Strategies,TRUE,D+,3,In Danger of Failing,
"Miller, Blake",Z10000031,ECO2013,Macroeconomics,TRUE,D-,6,Excessive Absences,
"Moore, Quinn",Z10000032,SLS1501,Student Success Strategies,True,W,9,Low Exam Scores,Referred to tutoring center.
"Moore, Quinn",Z10000032,ENC1101,College Writing I,True,F,8,Missing Assignments,"Spoke with student, aware of situation."
"Anderson, Cameron",Z10000033,ENC1101,College Writing I,true,F,10,Excessive Absences,
"Anderson, Cameron",Z10000033,SLS1501,Student Success Strategies,true,F,6,In Danger of Failing; Excessive Absences,
"Anderson, Cameron",Z10000033,PSY2012,General Psychology,true,D+,0,Low Exam Scores,
"Smith, Nadia",Z10000034,HIS1010,Western Civilization,Yes,C-,5,In Danger of Failing,"Spoke with student, aware of situation."
"Smith, Nadia",Z10000034,BSC1010,Biological Principles,Yes,D-,3,No Show,"Spoke with student, aware of situation."
"Smith, Nadia",Z10000034,COP2210,Programming I,Yes,F,12,Low Exam Scores,Referred to tutoring center.
"Martinez, Reese",Z10000035,PSY2012,General Psychology,Y,D+,11,Excessive Absences,"Spoke with student, aware of situation."
"Martinez, Reese",Z10000035,CHM2045,General Chemistry I,Y,D+,11,Missing Assignments,Referred to tutoring center.
"Martinez, Reese",Z10000035,STA2023,Introductory Statistics,Y,D,6,Excessive Absences,
"Johnson, Morgan",Z10000036,COP2210,Programming I,1,F,5,In Danger of Failing; Excessive Absences,
